јдр	«нчн	IP	CR	AR	DR	SP	BR	AC	PS	NZVC	јдр	«нчн
126	A14A	126	0	0	0	0	0	0	4	100		
126	A14A	127	A14A	14A	4152	0	126	4152	0	0		
127	214E	128	214E	14E	614B	0	127	4142	0	0		
128	E153	129	E153	153	4142	0	128	4142	0	0	153	4142
129	200	12A	200	129	200	0	129	0	4	100		
12A	4150	12B	4150	150	E153	0	012A	E153	8	1000		
12B	6153	12C	6153	153	4142	0	012B	A011	9	1001		
12C	E153	12D	E153	153	A011	0	012C	A011	9	1001	153	A011
12D	A14F	12E	A14F	14F	2153	0	012D	2153	1	1		
12E	3153	12F	3153	153	A011	0	5EAC	A153	9	1001		
12F	E153	130	E153	153	A153	0	012F	A153	9	1001	153	A153
130	200	131	200	130	200	0	130	0	5	101		
131	4152	132	4152	152	4125	0	131	4125	0	0		
132	4153	133	4153	153	A153	0	132	E278	8	1000		
133	E153	134	E153	153	E278	0	133	E278	8	1000	153	E278
134	200	135	200	134	200	0	134	0	4	100		
135	3151	136	3151	151	200	0	FDFF	200	0	0		
136	3153	137	3153	153	E278	0	1D87	E278	8	1000		
137	E153	138	E153	153	E278	0	137	E278	8	1000	153	E278
138	200	139	200	138	200	0	138	0	4	100		
139	614B	13A	614B	14B	E153	0	139	1EAD	0	0		
13A	4153	13B	4153	153	E278	0	013A	125	1	1		
13B	E153	13C	E153	153	125	0	013B	125	1	1	153	125
13C	200	13D	200	13C	200	0	013C	0	5	101		
13D	314C	13E	314C	14C	E153	0	1EAC	E153	9	1001		
13E	2153	13F	2153	153	125	0	013E	101	1	1		
13F	E153	140	E153	153	101	0	013F	101	1	1	153	101
140	200	141	200	140	200	0	140	0	5	101		
141	4125	142	4125	125	200	0	141	200	0	0		
142	4153	143	4153	153	101	0	142	301	0	0		
143	E153	144	E153	153	301	0	143	301	0	0	153	301
144	200	145	200	144	200	0	144	0	4	100		
145	3149	146	3149	149	2153	0	DEAC	2153	0	0		
146	3153	147	3153	153	301	0	DCAC	2353	0	0		
147	E14D	148	E14D	14D	2353	0	147	2353	0	0	14D	2353
148	100	149	100	148	100	0	148	2353	0	0		
149	2153	14A	100	149	2153	0	148	2353	0	0		
14A	4152	14B	100	14A	4152	0	148	2353	0	0		
14B	E153	14C	100	14B	E153	0	148	2353	0	0		
14C	E153	14D	100	14C	E153	0	148	2353	0	0		
14D	2353	14E	100	14D	2353	0	148	2353	0	0		
14E	614B	14F	100	14E	614B	0	148	2353	0	0		
14F	2153	150	100	14F	2153	0	148	2353	0	0		
150	E153	151	100	150	E153	0	148	2353	0	0		
